index,path,folder,description,prompt,filename
19,services/computer-repair/server-repair,images/services/computer-repair/server-repair,Server repair and maintenance,"Professional photo of a technician repairing a server repair - Server repair and maintenance in a clean, well-lit computer repair shop. Modern workspace with tools and components visible. Blue and white color scheme. High quality, commercial photography style. No text, no logos, no watermarks.",images/services/computer-repair/server-repair/hero.png
20,services/computer-repair/slow-computer-fix,images/services/computer-repair/slow-computer-fix,Slow computer fix and optimization,"Professional photo of a technician repairing a slow computer fix - Slow computer fix and optimization in a clean, well-lit computer repair shop. Modern workspace with tools and components visible. Blue and white color scheme. High quality, commercial photography style. No text, no logos, no watermarks.",images/services/computer-repair/slow-computer-fix/hero.png
21,services/computer-repair/software-repair,images/services/computer-repair/software-repair,Software troubleshooting and repair,"Professional photo of a technician repairing a software repair - Software troubleshooting and repair in a clean, well-lit computer repair shop. Modern workspace with tools and components visible. Blue and white color scheme. High quality, commercial photography style. No text, no logos, no watermarks.",images/services/computer-repair/software-repair/hero.png
22,services/computer-repair/windows-repair,images/services/computer-repair/windows-repair,Windows OS repair and reinstallation,"Professional photo of a technician repairing a windows repair - Windows OS repair and reinstallation in a clean, well-lit computer repair shop. Modern workspace with tools and components visible. Blue and white color scheme. High quality, commercial photography style. No text, no logos, no watermarks.",images/services/computer-repair/windows-repair/hero.png
23,services/cyber-security-services,images/services/cyber-security-services,Cybersecurity services for businesses,"Professional illustration of cybersecurity concept - cyber security services - Cybersecurity services for businesses. Digital shield, lock icons, network protection visualization. Blue and dark theme. Modern, corporate style. No text, no logos, no watermarks.",images/services/cyber-security-services/hero.png
24,services/data-recovery,images/services/data-recovery,Data recovery from damaged drives and devices,"Professional photo showing data recovery process - data recovery - Data recovery from damaged drives and devices. Clean room environment, specialized equipment, hard drives visible. Blue LED accents. Technical and professional atmosphere. No text, no logos, no watermarks.",images/services/data-recovery/hero.png
25,services/imac-repair,images/services/imac-repair,iMac repair services,"Professional photo of an iMac being repaired in a modern repair center. imac repair - iMac repair services. Clean workspace with professional tools. Blue and white theme. No text, no logos, no watermarks.",images/services/imac-repair/hero.png
26,services/it-support,images/services/it-support,IT support services for home and business,"Professional photo representing it support - IT support services for home and business by PC Plus Computing, a Vancouver BC IT company. Modern, clean, blue and white color scheme. Commercial photography style. No text, no logos, no watermarks.",images/services/it-support/hero.png
27,services/laptop-repair,images/services/laptop-repair,Laptop repair services,"Close-up professional photo of a technician working on a laptop laptop repair - Laptop repair services. Clean repair bench, precision tools, bright lighting. Modern IT service center. Blue and white tones. Commercial photography. No text, no logos, no watermarks.",images/services/laptop-repair/hero.png
28,services/mac-mini-repair,images/services/mac-mini-repair,Mac Mini repair and upgrade services,"Professional photo of a Mac Mini being serviced. mac mini repair - Mac Mini repair and upgrade services. Clean modern workspace, professional tools. Blue and white color scheme. No text, no logos, no watermarks.",images/services/mac-mini-repair/hero.png
29,services/macbook-repair,images/services/macbook-repair,MacBook repair services,"Professional photo of an Apple MacBook being repaired by a certified technician. macbook repair - MacBook repair services. Clean white workspace, Apple-style minimalism. Blue accent lighting. High-end repair center. No text, no logos, no watermarks.",images/services/macbook-repair/hero.png
30,services/managed-it-services,images/services/managed-it-services,Managed IT services for businesses,"Professional photo representing managed it services - Managed IT services for businesses by PC Plus Computing, a Vancouver BC IT company. Modern, clean, blue and white color scheme. Commercial photography style. No text, no logos, no watermarks.",images/services/managed-it-services/hero.png
31,services/network-setup,images/services/network-setup,Network setup and installation,"Professional photo of network infrastructure - network setup - Network setup and installation. Server rack, ethernet cables, network switches. Blue LED lighting. Clean, organized data center. No text, no logos, no watermarks.",images/services/network-setup/hero.png
32,services/on-site-computer-support,images/services/on-site-computer-support,On-site computer support - we come to you,"Professional photo representing on site computer support - On-site computer support - we come to you by PC Plus Computing, a Vancouver BC IT company. Modern, clean, blue and white color scheme. Commercial photography style. No text, no logos, no watermarks.",images/services/on-site-computer-support/hero.png
33,services/onsite-computer-support,images/services/onsite-computer-support,Onsite computer support services,"Professional photo representing onsite computer support - Onsite computer support services by PC Plus Computing, a Vancouver BC IT company. Modern, clean, blue and white color scheme. Commercial photography style. No text, no logos, no watermarks.",images/services/onsite-computer-support/hero.png
34,services/phone-tablet-repair,images/services/phone-tablet-repair,Phone and tablet repair services,"Professional photo of a technician repairing a phone tablet repair - Phone and tablet repair services. Clean modern repair bench, precision tools, bright lighting. Mobile device repair center. No text, no logos, no watermarks.",images/services/phone-tablet-repair/hero.png
35,services/remote-support,images/services/remote-support,Remote computer support services,"Professional photo representing remote support - Remote computer support services by PC Plus Computing, a Vancouver BC IT company. Modern, clean, blue and white color scheme. Commercial photography style. No text, no logos, no watermarks.",images/services/remote-support/hero.png
36,services/seo-services,images/services/seo-services,SEO services for small businesses,"Professional photo representing seo services - SEO services for small businesses by PC Plus Computing, a Vancouver BC IT company. Modern, clean, blue and white color scheme. Commercial photography style. No text, no logos, no watermarks.",images/services/seo-services/hero.png
37,services/virus-removal,images/services/virus-removal,Virus and malware removal services,"Professional photo representing virus removal - Virus and malware removal services by PC Plus Computing, a Vancouver BC IT company. Modern, clean, blue and white color scheme. Commercial photography style. No text, no logos, no watermarks.",images/services/virus-removal/hero.png
38,services/website-design,images/services/website-design,Website design and development services,"Professional photo representing website design - Website design and development services by PC Plus Computing, a Vancouver BC IT company. Modern, clean, blue and white color scheme. Commercial photography style. No text, no logos, no watermarks.",images/services/website-design/hero.png
39,services/computer-repair/power-supply-repair,images/services/computer-repair/power-supply-repair,Power supply repair and replacement,"Professional photo of a technician repairing a power supply repair - Power supply repair and replacement in a clean, well-lit computer repair shop. Modern workspace with tools and components visible. Blue and white color scheme. High quality, commercial photography style. No text, no logos, no watermarks.",images/services/computer-repair/power-supply-repair/hero.png
40,services/laptop-repair/laptop-screen-repair,images/services/laptop-repair/laptop-screen-repair,Laptop screen repair and replacement,"Close-up professional photo of a technician working on a laptop laptop screen repair - Laptop screen repair and replacement. Clean repair bench, precision tools, bright lighting. Modern IT service center. Blue and white tones. Commercial photography. No text, no logos, no watermarks.",images/services/laptop-repair/laptop-screen-repair/hero.png
41,services/laptop-repair/laptop-battery-replacement,images/services/laptop-repair/laptop-battery-replacement,Laptop battery replacement service,"Close-up professional photo of a technician working on a laptop laptop battery replacement - Laptop battery replacement service. Clean repair bench, precision tools, bright lighting. Modern IT service center. Blue and white tones. Commercial photography. No text, no logos, no watermarks.",images/services/laptop-repair/laptop-battery-replacement/hero.png
42,services/computer-repair/overheating-fix,images/services/computer-repair/overheating-fix,Computer overheating fix - thermal paste and cooling,"Professional photo of a technician repairing a overheating fix - Computer overheating fix - thermal paste and cooling in a clean, well-lit computer repair shop. Modern workspace with tools and components visible. Blue and white color scheme. High quality, commercial photography style. No text, no logos, no watermarks.",images/services/computer-repair/overheating-fix/hero.png
43,services/laptop-repair/laptop-charging-port-repair,images/services/laptop-repair/laptop-charging-port-repair,Laptop charging port repair,"Close-up professional photo of a technician working on a laptop laptop charging port repair - Laptop charging port repair. Clean repair bench, precision tools, bright lighting. Modern IT service center. Blue and white tones. Commercial photography. No text, no logos, no watermarks.",images/services/laptop-repair/laptop-charging-port-repair/hero.png
44,services/computer-repair/boot-error-repair,images/services/computer-repair/boot-error-repair,Boot error and startup issue repair,"Professional photo of a technician repairing a boot error repair - Boot error and startup issue repair in a clean, well-lit computer repair shop. Modern workspace with tools and components visible. Blue and white color scheme. High quality, commercial photography style. No text, no logos, no watermarks.",images/services/computer-repair/boot-error-repair/hero.png
45,services/laptop-repair/laptop-water-damage-repair,images/services/laptop-repair/laptop-water-damage-repair,Laptop water damage repair,"Close-up professional photo of a technician working on a laptop laptop water damage repair - Laptop water damage repair. Clean repair bench, precision tools, bright lighting. Modern IT service center. Blue and white tones. Commercial photography. No text, no logos, no watermarks.",images/services/laptop-repair/laptop-water-damage-repair/hero.png
46,services/laptop-repair/laptop-keyboard-repair,images/services/laptop-repair/laptop-keyboard-repair,Laptop keyboard repair and replacement,"Close-up professional photo of a technician working on a laptop laptop keyboard repair - Laptop keyboard repair and replacement. Clean repair bench, precision tools, bright lighting. Modern IT service center. Blue and white tones. Commercial photography. No text, no logos, no watermarks.",images/services/laptop-repair/laptop-keyboard-repair/hero.png
47,services/laptop-repair/gaming-laptop-repair,images/services/laptop-repair/gaming-laptop-repair,Gaming laptop repair,"Close-up professional photo of a technician working on a laptop gaming laptop repair - Gaming laptop repair. Clean repair bench, precision tools, bright lighting. Modern IT service center. Blue and white tones. Commercial photography. No text, no logos, no watermarks.",images/services/laptop-repair/gaming-laptop-repair/hero.png
48,services/computer-repair/system-optimization,images/services/computer-repair/system-optimization,System optimization and performance tuning,"Professional photo of a technician repairing a system optimization - System optimization and performance tuning in a clean, well-lit computer repair shop. Modern workspace with tools and components visible. Blue and white color scheme. High quality, commercial photography style. No text, no logos, no watermarks.",images/services/computer-repair/system-optimization/hero.png
49,services/laptop-repair/gaming-laptop-upgrade,images/services/laptop-repair/gaming-laptop-upgrade,Gaming laptop upgrade service,"Close-up professional photo of a technician working on a laptop gaming laptop upgrade - Gaming laptop upgrade service. Clean repair bench, precision tools, bright lighting. Modern IT service center. Blue and white tones. Commercial photography. No text, no logos, no watermarks.",images/services/laptop-repair/gaming-laptop-upgrade/hero.png
50,services/data-recovery/phone-data-recovery,images/services/data-recovery/phone-data-recovery,Phone data recovery service,"Professional photo showing data recovery process - phone data recovery - Phone data recovery service. Clean room environment, specialized equipment, hard drives visible. Blue LED accents. Technical and professional atmosphere. No text, no logos, no watermarks.",images/services/data-recovery/phone-data-recovery/hero.png
51,services/laptop-repair/laptop-boot-issue,images/services/laptop-repair/laptop-boot-issue,Laptop boot issue troubleshooting,"Close-up professional photo of a technician working on a laptop laptop boot issue - Laptop boot issue troubleshooting. Clean repair bench, precision tools, bright lighting. Modern IT service center. Blue and white tones. Commercial photography. No text, no logos, no watermarks.",images/services/laptop-repair/laptop-boot-issue/hero.png
52,services/macbook-repair/macbook-screen-repair,images/services/macbook-repair/macbook-screen-repair,MacBook screen repair,"Professional photo of an Apple MacBook being repaired by a certified technician. macbook screen repair - MacBook screen repair. Clean white workspace, Apple-style minimalism. Blue accent lighting. High-end repair center. No text, no logos, no watermarks.",images/services/macbook-repair/macbook-screen-repair/hero.png
53,services/macbook-repair/macbook-ssd-upgrade,images/services/macbook-repair/macbook-ssd-upgrade,MacBook SSD upgrade,"Professional photo of an Apple MacBook being repaired by a certified technician. macbook ssd upgrade - MacBook SSD upgrade. Clean white workspace, Apple-style minimalism. Blue accent lighting. High-end repair center. No text, no logos, no watermarks.",images/services/macbook-repair/macbook-ssd-upgrade/hero.png
54,services/data-recovery/server-data-recovery,images/services/data-recovery/server-data-recovery,Server data recovery,"Professional photo showing data recovery process - server data recovery - Server data recovery. Clean room environment, specialized equipment, hard drives visible. Blue LED accents. Technical and professional atmosphere. No text, no logos, no watermarks.",images/services/data-recovery/server-data-recovery/hero.png
55,services/macbook-repair/macbook-os-repair,images/services/macbook-repair/macbook-os-repair,MacBook OS repair and reinstallation,"Professional photo of an Apple MacBook being repaired by a certified technician. macbook os repair - MacBook OS repair and reinstallation. Clean white workspace, Apple-style minimalism. Blue accent lighting. High-end repair center. No text, no logos, no watermarks.",images/services/macbook-repair/macbook-os-repair/hero.png
56,services/macbook-repair/macbook-battery-replacement,images/services/macbook-repair/macbook-battery-replacement,MacBook battery replacement,"Professional photo of an Apple MacBook being repaired by a certified technician. macbook battery replacement - MacBook battery replacement. Clean white workspace, Apple-style minimalism. Blue accent lighting. High-end repair center. No text, no logos, no watermarks.",images/services/macbook-repair/macbook-battery-replacement/hero.png
57,services/macbook-repair/macbook-keyboard-repair,images/services/macbook-repair/macbook-keyboard-repair,MacBook keyboard repair,"Professional photo of an Apple MacBook being repaired by a certified technician. macbook keyboard repair - MacBook keyboard repair. Clean white workspace, Apple-style minimalism. Blue accent lighting. High-end repair center. No text, no logos, no watermarks.",images/services/macbook-repair/macbook-keyboard-repair/hero.png
58,services/data-recovery/raid-data-recovery,images/services/data-recovery/raid-data-recovery,RAID data recovery service,"Professional photo showing data recovery process - raid data recovery - RAID data recovery service. Clean room environment, specialized equipment, hard drives visible. Blue LED accents. Technical and professional atmosphere. No text, no logos, no watermarks.",images/services/data-recovery/raid-data-recovery/hero.png
59,services/macbook-repair/macbook-data-recovery,images/services/macbook-repair/macbook-data-recovery,MacBook data recovery,"Professional photo showing data recovery process - macbook data recovery - MacBook data recovery. Clean room environment, specialized equipment, hard drives visible. Blue LED accents. Technical and professional atmosphere. No text, no logos, no watermarks.",images/services/macbook-repair/macbook-data-recovery/hero.png
60,services/imac-repair/imac-screen-repair,images/services/imac-repair/imac-screen-repair,iMac screen repair,"Professional photo of an iMac being repaired in a modern repair center. imac screen repair - iMac screen repair. Clean workspace with professional tools. Blue and white theme. No text, no logos, no watermarks.",images/services/imac-repair/imac-screen-repair/hero.png
61,services/macbook-repair/macbook-pro-repair,images/services/macbook-repair/macbook-pro-repair,MacBook Pro repair,"Professional photo of an Apple MacBook being repaired by a certified technician. macbook pro repair - MacBook Pro repair. Clean white workspace, Apple-style minimalism. Blue accent lighting. High-end repair center. No text, no logos, no watermarks.",images/services/macbook-repair/macbook-pro-repair/hero.png
62,services/data-recovery/nas-data-recovery,images/services/data-recovery/nas-data-recovery,NAS data recovery service,"Professional photo showing data recovery process - nas data recovery - NAS data recovery service. Clean room environment, specialized equipment, hard drives visible. Blue LED accents. Technical and professional atmosphere. No text, no logos, no watermarks.",images/services/data-recovery/nas-data-recovery/hero.png
63,services/imac-repair/imac-hard-drive-replacement,images/services/imac-repair/imac-hard-drive-replacement,iMac hard drive replacement,"Professional photo of an iMac being repaired in a modern repair center. imac hard drive replacement - iMac hard drive replacement. Clean workspace with professional tools. Blue and white theme. No text, no logos, no watermarks.",images/services/imac-repair/imac-hard-drive-replacement/hero.png
64,services/laptop-repair/laptop-overheating-fix,images/services/laptop-repair/laptop-overheating-fix,Laptop overheating fix,"Close-up professional photo of a technician working on a laptop laptop overheating fix - Laptop overheating fix. Clean repair bench, precision tools, bright lighting. Modern IT service center. Blue and white tones. Commercial photography. No text, no logos, no watermarks.",images/services/laptop-repair/laptop-overheating-fix/hero.png
65,services/laptop-repair/laptop-slow-performance,images/services/laptop-repair/laptop-slow-performance,Laptop slow performance fix,"Close-up professional photo of a technician working on a laptop laptop slow performance - Laptop slow performance fix. Clean repair bench, precision tools, bright lighting. Modern IT service center. Blue and white tones. Commercial photography. No text, no logos, no watermarks.",images/services/laptop-repair/laptop-slow-performance/hero.png
66,services/laptop-repair/laptop-motherboard-repair,images/services/laptop-repair/laptop-motherboard-repair,Laptop motherboard repair,"Close-up professional photo of a technician working on a laptop laptop motherboard repair - Laptop motherboard repair. Clean repair bench, precision tools, bright lighting. Modern IT service center. Blue and white tones. Commercial photography. No text, no logos, no watermarks.",images/services/laptop-repair/laptop-motherboard-repair/hero.png
67,services/laptop-repair/laptop-hinge-repair,images/services/laptop-repair/laptop-hinge-repair,Laptop hinge repair,"Close-up professional photo of a technician working on a laptop laptop hinge repair - Laptop hinge repair. Clean repair bench, precision tools, bright lighting. Modern IT service center. Blue and white tones. Commercial photography. No text, no logos, no watermarks.",images/services/laptop-repair/laptop-hinge-repair/hero.png
68,services/laptop-repair/laptop-fan-repair,images/services/laptop-repair/laptop-fan-repair,Laptop fan repair and replacement,"Close-up professional photo of a technician working on a laptop laptop fan repair - Laptop fan repair and replacement. Clean repair bench, precision tools, bright lighting. Modern IT service center. Blue and white tones. Commercial photography. No text, no logos, no watermarks.",images/services/laptop-repair/laptop-fan-repair/hero.png
69,services/laptop-repair/laptop-diagnostics,images/services/laptop-repair/laptop-diagnostics,Laptop diagnostics service,"Close-up professional photo of a technician working on a laptop laptop diagnostics - Laptop diagnostics service. Clean repair bench, precision tools, bright lighting. Modern IT service center. Blue and white tones. Commercial photography. No text, no logos, no watermarks.",images/services/laptop-repair/laptop-diagnostics/hero.png
70,services/laptop-repair/laptop-software-repair,images/services/laptop-repair/laptop-software-repair,Laptop software repair,"Close-up professional photo of a technician working on a laptop laptop software repair - Laptop software repair. Clean repair bench, precision tools, bright lighting. Modern IT service center. Blue and white tones. Commercial photography. No text, no logos, no watermarks.",images/services/laptop-repair/laptop-software-repair/hero.png
71,services/laptop-repair/laptop-hard-drive-replacement,images/services/laptop-repair/laptop-hard-drive-replacement,Laptop hard drive replacement,"Close-up professional photo of a technician working on a laptop laptop hard drive replacement - Laptop hard drive replacement. Clean repair bench, precision tools, bright lighting. Modern IT service center. Blue and white tones. Commercial photography. No text, no logos, no watermarks.",images/services/laptop-repair/laptop-hard-drive-replacement/hero.png
72,services/laptop-repair/laptop-ssd-upgrade,images/services/laptop-repair/laptop-ssd-upgrade,Laptop SSD upgrade,"Close-up professional photo of a technician working on a laptop laptop ssd upgrade - Laptop SSD upgrade. Clean repair bench, precision tools, bright lighting. Modern IT service center. Blue and white tones. Commercial photography. No text, no logos, no watermarks.",images/services/laptop-repair/laptop-ssd-upgrade/hero.png
73,services/mac-mini-repair/mac-mini-upgrade,images/services/mac-mini-repair/mac-mini-upgrade,Mac Mini upgrade - RAM and storage,"Professional photo of a Mac Mini being serviced. mac mini upgrade - Mac Mini upgrade - RAM and storage. Clean modern workspace, professional tools. Blue and white color scheme. No text, no logos, no watermarks.",images/services/mac-mini-repair/mac-mini-upgrade/hero.png
74,services/macbook-repair/macbook-overheating,images/services/macbook-repair/macbook-overheating,MacBook overheating fix,"Professional photo of an Apple MacBook being repaired by a certified technician. macbook overheating - MacBook overheating fix. Clean white workspace, Apple-style minimalism. Blue accent lighting. High-end repair center. No text, no logos, no watermarks.",images/services/macbook-repair/macbook-overheating/hero.png
75,services/mac-mini-repair/mac-mini-diagnostics,images/services/mac-mini-repair/mac-mini-diagnostics,Mac Mini diagnostics,"Professional photo of a Mac Mini being serviced. mac mini diagnostics - Mac Mini diagnostics. Clean modern workspace, professional tools. Blue and white color scheme. No text, no logos, no watermarks.",images/services/mac-mini-repair/mac-mini-diagnostics/hero.png
76,services/macbook-repair/macbook-slow-performance,images/services/macbook-repair/macbook-slow-performance,MacBook slow performance fix,"Professional photo of an Apple MacBook being repaired by a certified technician. macbook slow performance - MacBook slow performance fix. Clean white workspace, Apple-style minimalism. Blue accent lighting. High-end repair center. No text, no logos, no watermarks.",images/services/macbook-repair/macbook-slow-performance/hero.png
77,services/macbook-repair/macbook-diagnostics,images/services/macbook-repair/macbook-diagnostics,MacBook diagnostics,"Professional photo of an Apple MacBook being repaired by a certified technician. macbook diagnostics - MacBook diagnostics. Clean white workspace, Apple-style minimalism. Blue accent lighting. High-end repair center. No text, no logos, no watermarks.",images/services/macbook-repair/macbook-diagnostics/hero.png
78,services/data-recovery/hard-drive-data-recovery,images/services/data-recovery/hard-drive-data-recovery,Hard drive data recovery,"Professional photo showing data recovery process - hard drive data recovery - Hard drive data recovery. Clean room environment, specialized equipment, hard drives visible. Blue LED accents. Technical and professional atmosphere. No text, no logos, no watermarks.",images/services/data-recovery/hard-drive-data-recovery/hero.png
79,deleted-file-recovery,images/deleted-file-recovery,Deleted file recovery service,"Professional photo showing data recovery process - deleted file recovery - Deleted file recovery service. Clean room environment, specialized equipment, hard drives visible. Blue LED accents. Technical and professional atmosphere. No text, no logos, no watermarks.",images/deleted-file-recovery/hero.png
80,services/data-recovery/ssd-data-recovery,images/services/data-recovery/ssd-data-recovery,SSD data recovery,"Professional photo showing data recovery process - ssd data recovery - SSD data recovery. Clean room environment, specialized equipment, hard drives visible. Blue LED accents. Technical and professional atmosphere. No text, no logos, no watermarks.",images/services/data-recovery/ssd-data-recovery/hero.png
81,services/data-recovery/usb-data-recovery,images/services/data-recovery/usb-data-recovery,USB drive data recovery,"Professional photo showing data recovery process - usb data recovery - USB drive data recovery. Clean room environment, specialized equipment, hard drives visible. Blue LED accents. Technical and professional atmosphere. No text, no logos, no watermarks.",images/services/data-recovery/usb-data-recovery/hero.png
82,services/data-recovery/formatted-drive-recovery,images/services/data-recovery/formatted-drive-recovery,Formatted drive data recovery,"Professional photo showing data recovery process - formatted drive recovery - Formatted drive data recovery. Clean room environment, specialized equipment, hard drives visible. Blue LED accents. Technical and professional atmosphere. No text, no logos, no watermarks.",images/services/data-recovery/formatted-drive-recovery/hero.png
83,services/data-recovery/water-damaged-drive,images/services/data-recovery/water-damaged-drive,Water damaged drive data recovery,"Professional photo showing data recovery process - water damaged drive - Water damaged drive data recovery. Clean room environment, specialized equipment, hard drives visible. Blue LED accents. Technical and professional atmosphere. No text, no logos, no watermarks.",images/services/data-recovery/water-damaged-drive/hero.png
84,services/data-recovery/emergency-data-recovery,images/services/data-recovery/emergency-data-recovery,Emergency data recovery - 24/7,"Professional photo showing data recovery process - emergency data recovery - Emergency data recovery - 24/7. Clean room environment, specialized equipment, hard drives visible. Blue LED accents. Technical and professional atmosphere. No text, no logos, no watermarks.",images/services/data-recovery/emergency-data-recovery/hero.png
85,services/data-recovery/external-drive-recovery,images/services/data-recovery/external-drive-recovery,External drive data recovery,"Professional photo showing data recovery process - external drive recovery - External drive data recovery. Clean room environment, specialized equipment, hard drives visible. Blue LED accents. Technical and professional atmosphere. No text, no logos, no watermarks.",images/services/data-recovery/external-drive-recovery/hero.png
86,services/cyber-security-services/endpoint-protection,images/services/cyber-security-services/endpoint-protection,Endpoint protection for businesses,"Professional illustration of cybersecurity concept - endpoint protection - Endpoint protection for businesses. Digital shield, lock icons, network protection visualization. Blue and dark theme. Modern, corporate style. No text, no logos, no watermarks.",images/services/cyber-security-services/endpoint-protection/hero.png
87,services/cyber-security-services/edr-security,images/services/cyber-security-services/edr-security,EDR endpoint detection and response,"Professional illustration of cybersecurity concept - edr security - EDR endpoint detection and response. Digital shield, lock icons, network protection visualization. Blue and dark theme. Modern, corporate style. No text, no logos, no watermarks.",images/services/cyber-security-services/edr-security/hero.png
88,services/cyber-security-services/network-security,images/services/cyber-security-services/network-security,Network security services,"Professional illustration of cybersecurity concept - network security - Network security services. Digital shield, lock icons, network protection visualization. Blue and dark theme. Modern, corporate style. No text, no logos, no watermarks.",images/services/cyber-security-services/network-security/hero.png
